Date;SO2;NO2;O3;CO;PM10;PM2.5;Station code;Address;Latitude;Longitude
2017-01-01;0.004;0.054;0.003;1.029;81.667;67.292;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-02;0.005;0.046;0.016;1.021;112.167;87.167;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-03;0.005;0.047;0.014;0.833;72.917;51.833;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-04;0.005;0.058;0.009;0.992;51.125;34.917;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-05;0.004;0.041;0.011;0.621;34.875;21.958;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-06;0.004;0.04;0.013;0.538;19.917;10.75;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-07;0.005;0.057;0.004;0.938;55.375;41.0;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-08;0.004;0.035;0.016;0.567;30.417;22.458;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-09;0.005;0.022;0.028;0.646;56.083;45.75;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-10;0.007;0.021;0.022;0.729;36.875;24.042;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-11;0.004;0.03;0.016;0.421;21.833;11.042;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-12;0.004;0.029;0.018;0.442;26.5;15.417;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-13;0.003;0.019;0.024;0.346;27.542;11.667;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
2017-01-14;0.003;0.012;0.025;0.308;36.417;9.333;101;19, Jong-ro 35ga-gil, Jongno-gu, Seoul, Republic of Korea;37.5720164;127.0050075
